velocity,calculated_max_total_pressure,stainless_steel_316,pvc_sch-40,pvc_sch-80,cpvc_sch-40,cpvc_sch-80,aluminium_7075
0.2,25.88107,1162239.428,410261.245,586104.0521,324754.7339,463543.4316,639386.2387
0.4,95.94437,313515.0087,110668.2966,158102.0335,87602.84736,125041.2088,172474.9456
0.6,216.0053,139255.8423,49156.20126,70225.12874,38911.08227,55540.30387,76609.23135
0.8,391.6556,76802.17007,27110.55325,38730.45604,21460.18083,30631.5038,42251.40659
1,625.0786,48121.94818,16986.66376,24267.34814,13446.30899,19192.78632,26473.4707
1.2,899.5158,33440.21306,11804.1284,16863.51702,9343.915916,13337.1754,18396.56402
1.4,1229.858,24458.10817,8633.51704,12333.94424,6834.122313,9754.784699,13455.2119
1.6,1609.566,18688.26752,6596.809326,9424.279588,5221.904538,7453.562016,10281.03228
1.8,2036.838,14767.98842,5212.982083,7447.327672,4126.494105,5890.011871,8124.35746
2,2500.998,12027.19874,4245.505194,6065.178781,3360.658425,4796.885083,6616.55867
3,6168.159,4876.657687,1721.421254,2459.242701,1362.643213,1944.988772,2682.810219
4,48680.15,617.9109966,218.1176517,311.605449,172.6576438,246.4454197,339.9332171
5,15497.93,1940.904366,685.1237552,978.7758752,542.3304919,774.1033803,1067.7555
6,149252.1,201.5382028,71.14137758,101.6334109,56.31411551,80.38077856,110.8728118
7,80940.63,371.630416,131.1825717,187.4089688,103.8415441,148.2197507,204.4461478
8,39377.07,763.8963488,269.6493162,385.2241927,213.4490961,304.6696974,420.2445738
9,105909.8,284.0152658,100.2551228,143.2256505,79.35998368,113.2756364,156.2461642
10,61847.79,486.3552926,171.6795378,245.263412,135.8981461,193.9762116,267.5600858
rated_pressure_values,,30080000,10618000,15169000,8405000,11997000,16548000
